edad,incumplimiento_pagos,tiene_hipoteca,tiene_prestamo,duracion_ultima_llamada,contacos_con_cliente,dias_desde_ultimo_contacto,contactos_pre_campaña,tasa_variacion_empleo,IPC,respuesta_campaña,fecha_intereaccion,ingresos,hijos_pequeños,hijos_adolescentes,fecha_inicio_cliente,visitas_web_mes,total_hijos,nivel_educativo,estado_civil
46,0,0,0,348,1,999,0,1.1,93.994,no,2019-12-20,172888,1,2,2012-11-01,10,3,,Casado
59,0,1,0,386,1,999,0,1.1,93.994,no,2019-04-14,90838,1,0,2012-05-10,7,1,,Casado
49,0,0,0,73,1,999,0,1.1,93.994,no,2019-01-04,20361,2,0,2012-11-14,32,2,,Casado
54,,1,0,230,1,999,0,1.1,93.994,no,2019-10-05,128876,0,2,2012-10-06,1,2,Primaria,Casado
,0,0,0,208,1,999,0,1.1,93.994,no,2019-12-18,121937,2,2,2012-10-29,21,4,Primaria,Divorciado
55,,1,0,336,1,999,0,1.1,93.994,no,2018-02-11,73868,1,1,2012-02-29,14,2,Primaria,Casado
34,0,0,0,365,1,999,0,1.1,93.994,no,2019-10-17,83851,1,1,2012-10-18,12,2,Instituto,Casado
52,0,1,0,1666,1,999,0,1.1,93.994,no,2015-12-11,71669,2,2,2012-04-16,26,4,Primaria,Casado
41,0,1,0,577,1,999,0,1.1,93.994,no,2019-04-26,50412,0,0,2012-05-05,2,0,Grado Universitario,Casado
56,0,1,0,137,1,999,0,1.1,93.994,no,2017-04-23,35940,1,0,2012-11-15,15,1,Primaria,Casado
58,0,1,0,366,1,999,0,1.1,93.994,no,2015-09-15,131696,2,0,2012-12-23,3,2,Grado Universitario,
32,0,1,0,314,1,999,0,1.1,93.994,no,2018-12-29,55182,2,0,2012-11-20,7,2,Instituto,Casado
38,0,0,0,160,1,999,0,1.1,93.994,no,2015-03-12,170859,2,2,2012-04-11,28,4,Formación profesional,Soltero
,0,0,1,212,1,999,0,1.1,93.994,no,2019-06-06,65477,0,0,2012-09-10,24,0,Grado Universitario,Casado
44,,1,0,188,1,999,0,1.1,93.994,no,2015-01-05,122815,2,1,2012-05-14,28,3,Grado Universitario,Casado
42,,0,0,22,1,999,0,1.1,93.994,no,2017-01-08,52087,0,2,2012-03-09,13,2,Formación profesional,Soltero
57,0,1,1,616,1,999,0,1.1,93.994,no,2016-10-15,136434,1,1,2012-07-03,3,2,Grado Universitario,Casado
40,0,0,1,178,1,999,0,1.1,93.994,no,2017-08-15,48855,2,1,2012-08-21,11,3,Primaria,Casado
35,0,1,0,355,1,999,0,1.1,93.994,no,2015-12-19,14091,1,2,2012-03-23,15,3,Grado Universitario,Casado
45,0,1,0,225,2,999,0,1.1,93.994,no,2018-05-15,49376,1,2,2012-11-21,18,3,Primaria,Casado
54,0,0,0,160,1,999,0,1.1,93.994,no,2019-05-23,141524,1,2,2012-01-10,32,3,Instituto,Casado
39,0,0,1,266,1,999,0,1.1,93.994,no,2015-10-02,139751,0,2,2012-06-23,15,2,Primaria,Casado
60,0,0,0,253,1,999,0,1.1,93.994,no,2019-07-20,175358,2,1,2012-07-27,8,3,Instituto,Casado
,0,0,0,179,1,999,0,1.1,93.994,no,2016-10-22,43378,1,0,2012-01-13,14,1,Formación profesional,Soltero
55,,0,0,269,2,999,0,1.1,93.994,no,2016-07-24,171806,2,1,2012-04-01,26,3,Primaria,Casado
,,1,0,135,1,999,0,1.1,93.994,no,2017-02-04,82735,2,1,2012-09-15,5,3,Formación profesional,Casado
50,,0,1,161,1,999,0,1.1,93.994,no,2018-12-03,21488,1,2,2012-07-13,29,3,Grado Universitario,Casado
45,,1,0,787,1,999,0,1.1,93.994,no,2018-11-16,165897,1,2,2012-11-28,3,3,Instituto,Casado
55,,1,1,145,1,999,0,1.1,93.994,no,2018-08-08,20845,2,2,2012-09-27,1,4,Formación profesional,Casado
25,0,1,0,174,1,999,0,1.1,93.994,no,2018-11-22,42782,0,1,2012-05-14,15,1,Grado Universitario,Soltero
,,0,0,449,1,999,0,1.1,93.994,no,2016-01-13,140136,2,2,2012-07-18,14,4,Grado Universitario,Casado
51,0,1,0,812,1,999,0,1.1,93.994,no,2015-04-15,76853,2,0,2012-11-12,23,2,Primaria,Casado
,,1,0,164,1,999,0,1.1,93.994,no,2018-10-08,61337,0,1,2012-02-24,7,1,Primaria,Casado
42,,0,0,366,1,999,0,1.1,93.994,no,2017-09-30,178376,1,1,2012-06-10,18,2,Primaria,Casado
48,0,0,0,357,1,999,0,1.1,93.994,no,2017-06-07,83568,0,2,2012-01-06,18,2,Instituto,Casado
37,0,0,0,232,1,999,0,1.1,93.994,no,2019-10-26,114438,1,0,2012-06-06,32,1,Grado Universitario,Casado
,0,1,0,91,1,999,0,1.1,93.994,no,2019-10-07,128341,2,0,2012-10-29,13,2,Primaria,Soltero
,0,1,0,273,1,999,0,1.1,93.994,no,2019-03-29,26244,0,2,2012-05-18,16,2,,Casado
56,0,1,0,158,2,999,0,1.1,93.994,no,2017-02-08,130764,1,0,2012-03-30,8,1,Primaria,Casado
,,1,1,177,1,999,0,1.1,93.994,no,2017-09-17,141859,2,1,2012-02-06,4,3,Primaria,Soltero
41,0,0,0,200,1,999,0,1.1,93.994,no,2018-10-24,55445,0,2,2012-10-05,21,2,Primaria,Casado
44,0,1,0,172,1,999,0,1.1,93.994,no,2016-01-05,77947,1,1,2012-04-29,11,2,Grado Universitario,Divorciado
47,,1,0,176,1,999,0,1.1,93.994,no,2018-07-12,67439,0,1,2012-03-05,9,1,Grado Universitario,Casado
57,,0,0,211,1,999,0,1.1,93.994,no,2018-06-18,80033,0,0,2012-01-15,11,0,,Casado
37,,1,0,214,1,999,0,1.1,93.994,no,2015-01-22,93745,0,2,2012-07-16,27,2,Grado Universitario,Casado
41,,1,0,1575,1,999,0,1.1,93.994,yes,2017-02-14,51945,1,1,2012-05-16,32,2,Primaria,Divorciado
55,0,0,0,349,1,999,0,1.1,93.994,no,2017-07-31,177873,0,0,2012-07-13,11,0,Grado Universitario,Casado
,,1,0,337,2,999,0,1.1,93.994,no,2018-10-04,121966,1,1,2012-08-08,31,2,Instituto,Casado
55,,1,0,272,1,999,0,1.1,93.994,no,2017-09-05,167586,0,1,2012-02-12,18,1,,Casado
42,,0,0,208,1,999,0,1.1,93.994,no,2016-02-07,70480,1,2,2012-08-19,13,3,Primaria,Casado
50,,1,0,193,1,999,0,1.1,93.994,no,2018-08-19,18714,2,2,2012-08-10,23,4,Primaria,Casado
51,,,,212,1,999,0,1.1,93.994,no,2015-05-14,74584,0,1,2012-08-27,14,1,Primaria,Casado
38,,0,0,165,2,999,0,1.1,93.994,no,2019-01-13,7462,2,2,2012-08-20,21,4,Instituto,Casado
49,,1,0,1042,1,999,0,1.1,93.994,yes,2016-11-23,153359,0,2,2012-11-15,9,2,Grado Universitario,Casado
38,0,0,1,20,1,999,0,1.1,93.994,no,2016-09-10,138685,2,0,2012-12-25,20,2,Grado Universitario,Soltero
31,0,0,0,246,1,999,0,1.1,93.994,no,2017-06-18,116608,1,0,2012-07-20,13,1,Instituto,Divorciado
,0,0,0,529,2,999,0,1.1,93.994,no,2017-08-28,14417,1,0,2012-07-30,1,1,Primaria,Casado
39,0,1,1,192,1,999,0,1.1,93.994,no,2018-11-18,99031,0,0,2012-08-28,21,0,Grado Universitario,Casado
49,0,0,0,1467,1,999,0,1.1,93.994,yes,2015-05-17,93507,2,1,2012-10-19,15,3,Primaria,Casado
34,0,1,0,188,2,999,0,1.1,93.994,no,2016-10-26,68707,1,0,2012-02-09,16,1,Instituto,Casado
35,0,1,0,180,2,999,0,1.1,93.994,no,2016-08-27,119162,1,0,2012-07-09,1,1,Grado Universitario,Casado
,,1,0,48,1,999,0,1.1,93.994,no,2017-09-30,74474,2,1,2012-09-04,13,3,,Casado
60,,0,1,213,2,999,0,1.1,93.994,no,2019-02-23,111496,2,0,2012-02-18,19,2,,Casado
33,0,0,0,545,1,999,0,1.1,93.994,no,2018-12-03,95189,0,0,2012-07-18,22,0,Primaria,Casado
42,0,0,1,583,1,999,0,1.1,93.994,no,2017-09-20,45768,1,1,2012-06-17,21,2,Primaria,Casado
45,0,1,0,221,1,999,0,1.1,93.994,no,2015-08-17,122783,0,0,2012-11-03,3,0,Formación profesional,Casado
42,0,0,0,426,1,999,0,1.1,93.994,no,2018-11-28,98678,0,0,2012-12-02,31,0,Grado Universitario,Casado
53,,0,0,287,1,999,0,1.1,93.994,no,2016-12-08,21072,0,0,2012-07-09,21,0,Grado Universitario,Divorciado
37,0,0,0,197,1,999,0,1.1,93.994,no,2016-05-19,60378,1,2,2012-09-14,18,3,Formación profesional,Soltero
44,0,0,0,257,1,999,0,1.1,93.994,no,2018-07-29,145871,0,2,2012-08-13,8,2,Primaria,Casado
54,0,1,0,229,1,999,0,1.1,93.994,no,2018-12-01,109725,1,0,2012-08-03,13,1,,Casado
49,0,0,0,55,3,999,0,1.1,93.994,no,2017-12-21,96711,0,0,2012-03-07,29,0,Primaria,Casado
54,0,0,0,400,1,999,0,1.1,93.994,no,2015-12-22,12244,0,0,2012-01-26,28,0,,Casado
52,0,0,0,197,1,999,0,1.1,93.994,no,2018-04-18,36606,1,1,2012-06-27,27,2,Grado Universitario,Divorciado
52,0,0,0,190,1,999,0,1.1,93.994,no,2015-08-26,154051,2,2,2012-11-09,18,4,Grado Universitario,Divorciado
43,,0,0,21,1,999,0,1.1,93.994,no,2017-06-25,29727,1,2,2012-09-28,2,3,Instituto,Soltero
34,0,1,0,300,2,999,0,1.1,93.994,no,2016-10-06,54061,2,2,2012-05-23,7,4,Primaria,Casado
35,0,1,0,123,2,999,0,1.1,93.994,no,2019-11-21,127139,0,0,2012-02-11,1,0,Instituto,Casado
42,,1,0,293,1,999,0,1.1,93.994,no,2019-10-22,85638,1,0,2012-12-22,15,1,,Casado
43,,1,1,325,1,999,0,1.1,93.994,no,2019-02-11,170502,0,0,2012-10-22,3,0,,Casado
60,,0,0,514,1,999,0,1.1,93.994,no,2019-03-14,50221,2,2,2012-09-26,5,4,Grado Universitario,Divorciado
58,,0,0,849,2,999,0,1.1,93.994,no,2016-04-27,163061,0,1,2012-02-21,7,1,Primaria,Casado
35,0,1,0,194,1,999,0,1.1,93.994,no,2017-06-01,155704,2,1,2012-04-15,28,3,Instituto,Divorciado
55,,1,0,212,2,999,0,1.1,93.994,no,2017-05-17,20900,0,0,2012-01-25,8,0,Primaria,Casado
,0,0,0,337,2,999,0,1.1,93.994,no,2015-12-13,51445,0,0,2012-03-14,13,0,Grado Universitario,Casado
36,0,0,0,286,1,999,0,1.1,93.994,no,2016-01-21,91718,0,1,2012-04-27,28,1,Instituto,Casado
,0,0,0,247,2,999,0,1.1,93.994,no,2019-07-09,117747,2,1,2012-10-07,18,3,Grado Universitario,Divorciado
57,,1,0,518,1,999,0,1.1,93.994,no,2019-01-23,36342,2,0,2012-09-30,11,2,,Divorciado
56,0,1,0,364,1,999,0,1.1,93.994,no,2018-06-24,162740,0,1,2012-07-17,22,1,,Casado
50,0,0,0,61,1,999,0,1.1,93.994,no,2017-05-28,134274,0,2,2012-11-28,1,2,Primaria,Casado
31,0,1,1,78,1,999,0,1.1,93.994,no,2019-05-21,85870,1,0,2012-06-13,16,1,Formación profesional,Divorciado
56,0,1,0,102,2,999,0,1.1,93.994,no,2016-09-01,50634,1,1,2012-03-19,26,2,Primaria,Casado
41,,1,0,579,1,999,0,1.1,93.994,yes,2018-05-25,7888,2,2,2012-03-19,24,4,Formación profesional,Casado
37,0,1,1,143,1,999,0,1.1,93.994,no,2019-09-28,85274,2,1,2012-12-12,5,3,Primaria,Casado
41,,0,0,677,1,999,0,1.1,93.994,no,2015-03-03,169322,0,1,2012-09-19,1,1,Formación profesional,Casado
35,0,1,0,267,1,999,0,1.1,93.994,no,2019-09-06,106503,1,0,2012-06-20,16,1,,Casado
37,0,1,0,345,1,999,0,1.1,93.994,no,2015-05-28,126858,1,2,2012-11-29,9,3,Primaria,Casado
52,0,0,0,185,1,999,0,1.1,93.994,no,2019-07-11,130178,2,1,2012-10-22,13,3,Grado Universitario,Casado
39,0,0,0,207,1,999,0,1.1,93.994,no,2018-04-07,80424,0,2,2012-09-03,21,2,Grado Universitario,Divorciado
39,,0,0,69,2,999,0,1.1,93.994,no,2019-07-14,51265,0,0,2012-05-14,12,0,Primaria,Casado
56,,0,0,100,2,999,0,1.1,93.994,no,2018-11-20,104559,1,0,2012-08-23,10,1,Primaria,Casado
34,0,1,0,125,2,999,0,1.1,93.994,no,2017-08-18,33226,2,0,2012-09-23,16,2,Instituto,Casado
,,1,0,461,1,999,0,1.1,93.994,yes,2016-10-20,10184,1,1,2012-02-13,32,2,Primaria,Casado
,0,1,0,240,1,999,0,1.1,93.994,no,2016-02-10,156831,0,2,2012-06-08,10,2,Grado Universitario,Soltero
,0,1,0,70,1,999,0,1.1,93.994,no,2018-03-26,31763,1,2,2012-12-26,24,3,,Casado
39,0,1,0,193,1,999,0,1.1,93.994,no,2016-01-28,64183,0,1,2012-11-06,12,1,Grado Universitario,Casado
53,0,1,0,136,1,999,0,1.1,93.994,no,2018-05-08,134200,1,1,2012-12-19,24,2,Primaria,Casado
38,,1,0,73,1,999,0,1.1,93.994,no,2017-01-27,105920,1,0,2012-08-30,30,1,Instituto,Divorciado
42,,1,0,528,1,999,0,1.1,93.994,no,2016-08-26,39463,2,2,2012-11-09,14,4,Primaria,Casado
42,,0,0,541,1,999,0,1.1,93.994,no,2017-06-21,21484,2,0,2012-04-19,31,2,Primaria,Casado
,0,1,0,338,1,999,0,1.1,93.994,no,2017-01-31,45847,2,2,2012-12-25,16,4,Instituto,Soltero
40,,1,0,163,1,999,0,1.1,93.994,no,2015-05-23,86345,0,2,2012-01-04,22,2,Grado Universitario,Casado
,0,1,0,87,1,999,0,1.1,93.994,no,2019-08-11,83962,1,0,2012-03-12,5,1,Primaria,Casado
60,,0,0,301,1,999,0,1.1,93.994,no,2017-07-07,105105,2,2,2012-06-21,1,4,Primaria,Casado
56,,1,0,46,1,999,0,1.1,93.994,no,2015-09-06,164145,0,2,2012-11-17,8,2,,Casado
39,,1,0,52,1,999,0,1.1,93.994,no,2019-03-31,106467,1,2,2012-05-01,30,3,Instituto,Divorciado
56,,0,0,204,1,999,0,1.1,93.994,no,2016-06-21,167719,1,1,2012-09-07,19,2,,Casado
40,0,1,1,155,1,999,0,1.1,93.994,no,2018-10-18,67423,1,2,2012-08-22,6,3,,Casado
36,0,1,1,98,1,999,0,1.1,93.994,no,2016-07-01,112397,2,0,2012-05-30,1,2,Primaria,Casado
51,,1,0,71,1,999,0,1.1,93.994,no,2016-01-26,146893,2,2,2012-07-01,9,4,,Casado
51,,0,0,243,1,999,0,1.1,93.994,no,2019-11-11,56252,0,2,2012-04-07,32,2,,Casado
43,0,1,0,186,2,999,0,1.1,93.994,no,2016-05-16,16214,2,2,2012-03-06,23,4,Formación profesional,Soltero
59,0,0,0,579,2,999,0,1.1,93.994,no,2019-09-02,108022,0,0,2012-05-14,29,0,Instituto,Casado
,0,1,0,165,2,999,0,1.1,93.994,no,2015-08-01,6769,1,2,2012-02-27,23,3,Grado Universitario,Soltero
37,,1,1,163,2,999,0,1.1,93.994,no,2017-10-07,39731,1,0,2012-01-26,25,1,Primaria,Soltero
40,,0,0,46,1,999,0,1.1,93.994,no,2016-03-01,103926,1,1,2012-07-22,25,2,Primaria,Casado
42,,0,0,559,3,999,0,1.1,93.994,no,2015-04-11,51840,1,2,2012-07-03,25,3,Primaria,Casado
39,,0,0,2033,1,999,0,1.1,93.994,no,2017-10-08,64554,2,1,2012-08-31,19,3,Instituto,Divorciado
37,0,0,0,85,1,999,0,1.1,93.994,no,2017-02-21,122612,2,1,2012-08-09,20,3,Primaria,Casado
38,0,1,1,506,1,999,0,1.1,93.994,no,2018-07-22,47444,2,1,2012-01-22,13,3,Instituto,Casado
56,,0,0,114,2,999,0,1.1,93.994,no,2019-08-09,112443,1,0,2012-05-13,3,1,,Divorciado
40,0,0,0,114,2,999,0,1.1,93.994,no,2016-02-05,173802,1,1,2012-03-16,30,2,,Casado
54,0,1,0,843,2,999,0,1.1,93.994,no,2016-08-30,134003,1,1,2012-12-23,19,2,Grado Universitario,Divorciado
,,0,1,181,1,999,0,1.1,93.994,no,2016-11-03,118281,0,2,2012-05-08,8,2,Instituto,Casado
36,,0,0,427,1,999,0,1.1,93.994,no,2015-12-28,80885,1,2,2012-09-29,22,3,Instituto,Casado
45,0,1,1,292,1,999,0,1.1,93.994,no,2017-09-19,152416,2,0,2012-12-12,4,2,Grado Universitario,Casado
42,,0,0,192,1,999,0,1.1,93.994,no,2018-04-22,65564,1,2,2012-01-11,6,3,Grado Universitario,Soltero
43,0,0,0,93,3,999,0,1.1,93.994,no,2019-06-27,35413,2,0,2012-01-21,27,2,Instituto,Casado
46,0,0,0,128,2,999,0,1.1,93.994,no,2017-09-06,56344,0,2,2012-07-08,32,2,Primaria,Casado
44,0,1,1,107,1,999,0,1.1,93.994,no,2017-03-26,60989,1,1,2012-01-23,10,2,Instituto,Casado
51,0,0,0,303,2,999,0,1.1,93.994,no,2019-09-21,178385,1,1,2012-02-28,7,2,Primaria,Soltero
28,0,1,0,81,1,999,0,1.1,93.994,no,2015-12-10,99232,2,2,2012-05-19,8,4,Instituto,Casado
37,0,0,0,270,1,999,0,1.1,93.994,no,2019-12-05,134200,1,1,2012-01-12,9,2,Primaria,Casado
,0,0,0,228,1,999,0,1.1,93.994,no,2019-12-08,76605,2,2,2012-11-10,8,4,Instituto,Casado
46,,1,0,240,1,999,0,1.1,93.994,no,2017-01-28,127797,2,1,2012-11-04,7,3,Primaria,Casado
42,0,1,1,673,2,999,0,1.1,93.994,yes,2015-12-13,144023,2,2,2012-09-29,31,4,Primaria,Casado
36,0,1,0,233,3,999,0,1.1,93.994,no,2017-10-09,33535,2,1,2012-12-10,16,3,Grado Universitario,Casado
,,0,0,102,1,999,0,1.1,93.994,no,2019-05-15,166017,0,2,2012-03-24,32,2,Primaria,Casado
57,0,0,0,461,1,999,0,1.1,93.994,no,2015-11-16,35525,2,1,2012-10-21,19,3,Grado Universitario,Casado
51,,0,0,250,1,999,0,1.1,93.994,no,2019-05-31,172098,2,1,2012-03-10,21,3,Primaria,Casado
54,,0,0,130,1,999,0,1.1,93.994,no,2015-06-22,178330,1,1,2012-06-06,23,2,Instituto,Casado
49,,0,0,252,1,999,0,1.1,93.994,no,2017-07-14,90807,1,2,2012-01-17,26,3,Primaria,Casado
40,,1,0,683,2,999,0,1.1,93.994,no,2018-09-30,169427,2,1,2012-10-16,29,3,Primaria,Casado
43,0,1,0,1077,1,999,0,1.1,93.994,no,2019-03-29,81421,0,1,2012-12-02,8,1,Primaria,Casado
33,0,0,0,146,2,999,0,1.1,93.994,no,2015-12-21,117262,0,2,2012-06-25,10,2,Instituto,Casado
32,0,0,0,167,1,999,0,1.1,93.994,no,2018-11-25,68233,0,1,2012-07-21,16,1,Primaria,Soltero
39,0,1,0,356,2,999,0,1.1,93.994,no,2015-03-28,55950,1,1,2012-08-23,5,2,Instituto,Casado
43,0,0,0,277,1,999,0,1.1,93.994,no,2018-12-08,47679,2,1,2012-04-11,15,3,,Casado
44,0,1,0,172,1,999,0,1.1,93.994,no,2018-09-02,147166,1,0,2012-05-05,32,1,Primaria,Casado
35,,0,0,218,1,999,0,1.1,93.994,no,2015-05-01,99210,1,1,2012-05-20,30,2,Grado Universitario,Soltero
35,,1,1,217,1,999,0,1.1,93.994,no,2016-04-23,15666,2,0,2012-02-11,17,2,Grado Universitario,Soltero
35,0,0,0,67,1,999,0,1.1,93.994,no,2015-12-17,79384,1,2,2012-08-10,26,3,Formación profesional,Casado
36,0,0,0,291,1,999,0,1.1,93.994,no,2016-02-01,118295,1,2,2012-10-16,31,3,Primaria,Soltero
35,,1,0,248,1,999,0,1.1,93.994,no,2017-04-26,71155,2,1,2012-01-10,29,3,Grado Universitario,Soltero
36,0,1,0,256,1,999,0,1.1,93.994,no,2015-10-27,42460,0,2,2012-12-29,29,2,Primaria,Soltero
55,0,0,0,286,1,999,0,1.1,93.994,no,2017-11-11,57435,2,0,2012-06-23,25,2,Grado Universitario,Divorciado
59,0,0,0,477,1,999,0,1.1,93.994,no,2018-10-11,29404,2,1,2012-09-11,19,3,Grado Universitario,Casado
57,,0,0,611,2,999,0,1.1,93.994,no,2018-07-06,54001,0,0,2012-01-01,20,0,,Casado
39,,1,0,471,1,999,0,1.1,93.994,no,2015-03-08,82283,2,2,2012-03-20,27,4,Formación profesional,Casado
39,,1,0,381,2,999,0,1.1,93.994,no,2018-11-27,113569,0,2,2012-12-17,10,2,Primaria,Casado
,0,1,0,251,1,999,0,1.1,93.994,no,2015-08-17,131182,2,1,2012-07-26,13,3,,Soltero
30,0,1,1,408,1,999,0,1.1,93.994,no,2018-01-23,94993,0,1,2012-07-12,30,1,,Soltero
50,,0,0,287,1,999,0,1.1,93.994,no,2016-03-15,7992,1,1,2012-02-24,4,2,Primaria,Casado
,0,0,0,322,3,999,0,1.1,93.994,no,2017-09-13,13175,1,2,2012-01-29,2,3,Instituto,Casado
35,0,1,0,216,2,999,0,1.1,93.994,no,2017-11-13,157838,1,0,2012-03-16,6,1,Instituto,Casado
43,,0,0,366,2,999,0,1.1,93.994,no,2015-05-07,109358,0,2,2012-08-30,19,2,,Casado
36,,1,0,210,1,999,0,1.1,93.994,no,2017-10-06,41057,2,1,2012-08-27,17,3,Primaria,Soltero
46,,1,0,288,1,999,0,1.1,93.994,no,2015-06-29,34723,0,0,2012-02-07,7,0,Primaria,Casado
40,0,0,0,168,1,999,0,1.1,93.994,no,2017-11-13,34205,2,0,2012-08-20,4,2,Primaria,Casado
58,0,0,0,132,1,999,0,1.1,93.994,no,2016-06-14,11599,0,2,2012-03-15,1,2,Grado Universitario,Casado
42,0,0,0,64,2,999,0,1.1,93.994,no,2015-04-08,109051,2,2,2012-02-09,29,4,Grado Universitario,Casado
35,0,0,0,209,2,999,0,1.1,93.994,no,2018-08-26,12413,2,1,2012-09-12,1,3,Grado Universitario,Soltero
,,0,0,410,3,999,0,1.1,93.994,no,2015-07-25,36014,1,1,2012-12-04,28,2,Primaria,Casado
45,0,1,1,177,1,999,0,1.1,93.994,no,2016-03-11,36364,1,0,2012-03-03,21,1,Primaria,Casado
,0,1,0,580,2,999,0,1.1,93.994,no,2018-07-16,64302,0,2,2012-02-10,18,2,Formación profesional,Casado
50,0,1,0,165,1,999,0,1.1,93.994,no,2017-08-05,87368,0,0,2012-09-01,27,0,Formación profesional,Divorciado
32,,1,0,127,2,999,0,1.1,93.994,no,2017-06-10,67820,1,0,2012-06-20,27,1,Primaria,Divorciado
39,,0,0,357,1,999,0,1.1,93.994,no,2018-01-24,130920,0,2,2012-04-13,9,2,Instituto,Casado
,,0,0,175,1,999,0,1.1,93.994,no,2017-10-26,171230,2,1,2012-02-05,22,3,Grado Universitario,Casado
44,0,1,0,300,1,999,0,1.1,93.994,no,2018-08-28,40547,1,0,2012-12-14,22,1,Formación profesional,Casado
56,0,0,0,136,1,999,0,1.1,93.994,no,2015-01-13,146654,2,0,2012-10-03,4,2,Primaria,Casado
48,0,0,0,125,2,999,0,1.1,93.994,no,2018-10-27,170376,1,0,2012-04-04,8,1,Instituto,Casado
33,,0,1,189,2,999,0,1.1,93.994,no,2017-09-22,176144,2,1,2012-08-04,21,3,Instituto,Casado
,,0,1,213,3,999,0,1.1,93.994,no,2019-10-18,138690,2,0,2012-09-03,13,2,Grado Universitario,Casado
57,0,0,0,238,2,999,0,1.1,93.994,no,2018-08-07,13859,0,1,2012-04-10,10,1,Instituto,Casado
36,0,0,0,124,1,999,0,1.1,93.994,no,2016-10-31,79346,2,1,2012-07-11,21,3,Formación profesional,Soltero
